id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12755021,"Extended studio, two futons",9993095,Xenia,,Allston,42.34833,-71.13613,Entire home/apt,65,1,1,2016-05-08,0.02,1,0
12781774,Studio apartment in historic Boston,39290576,Paul,,Jamaica Plain,42.31446,-71.11392,Entire home/apt,99,2,69,2019-06-29,1.70,1,138
12789527,"Cosy Bedroom in Boston, 10min from Downtown by T",5965548,Gaelle,,Jamaica Plain,42.3146,-71.10401,Private room,90,1,3,2016-10-16,0.08,1,0
12812461,"Book for holiday season special rates 
 5 Star",38818333,William M,,South End,42.33659,-71.07603,Entire home/apt,150,2,161,2019-09-21,4.16,1,283
12815192,Apartment Steps from Boston Common,17045533,Lilly,,Downtown,42.35883,-71.06185,Entire home/apt,175,2,4,2016-07-25,0.10,1,0
12824498,Cozy Reading Bedroom,10524003,Isaac,,Jamaica Plain,42.32512,-71.11292,Private room,70,1,4,2016-08-09,0.10,1,0
12834650,Comfy room,9640446,Mitchel,,Brighton,42.35239,-71.16201,Private room,50,1,11,2017-08-25,0.28,1,0
12855343,"Cozy, sweet, single-bed near T",12164071,Cynthia And Paul,,Jamaica Plain,42.31262,-71.10621,Private room,50,2,242,2019-09-14,5.96,2,314
12871837,Fenway Park Luxury Stay,60115031,Christopher,,Fenway,42.3448,-71.10109,Entire home/apt,100,1,0,,,1,358
12874603,Comfortable Private Bedroom for 2,48719428,Diego,,Jamaica Plain,42.32267,-71.10079,Private room,70,1,10,2016-06-27,0.25,1,0
12888054,Arthouse in Historic Brewery District!,70542233,Christine,,Jamaica Plain,42.31642,-71.10503,Entire home/apt,239,3,23,2019-08-26,0.63,2,300
12898177,"Devonshire Place, Lux 1 Bed Dwtwn Financial Area",22541573,Ken,,Downtown,42.35851,-71.05719,Entire home/apt,219,30,4,2018-11-07,0.17,18,360
12899321,"Kingston Street, 1bd Service Dwtwn Financial Area",22541573,Ken,,Chinatown,42.35157,-71.05931,Entire home/apt,239,30,2,2017-02-04,0.05,18,190
12901078,Mahar family room,27871799,Althea,,Mattapan,42.27516,-71.07662,Private room,70,1,37,2018-09-04,0.91,6,356
12904318,Lovely cozy room close to Subway,52601623,Jean,,Dorchester,42.28358,-71.06695,Private room,55,1,7,2019-05-19,0.18,6,339
12949270,"Elegant room, colorful artist home",18896448,Sandy,,Jamaica Plain,42.32136,-71.11323,Private room,65,1,12,2016-12-02,0.29,2,0
12950332,Clean Large Room near Redline/Rail Peaceful Area,18517776,Huggy,,Dorchester,42.30567,-71.07322,Private room,37,29,9,2018-02-18,0.23,30,365
12971329,Cozy room near train,52601623,Jean,,Dorchester,42.28367,-71.06832,Private room,55,1,5,2019-06-11,0.12,6,365
12973308,"In the Heart of Back Bay, Boston",71393113,Eric,,Fenway,42.34753,-71.08894,Entire home/apt,375,10,25,2019-08-20,0.62,4,0
12979965,Boston ✅ South End  ✅ Multiple Rooms,43217109,Javier,,South End,42.33832,-71.07691,Private room,125,1,28,2019-08-13,0.69,6,335
12987348,Expansive and Modern City Center,71536024,Hussein,,Downtown,42.35738,-71.05351,Entire home/apt,363,1,250,2019-08-27,6.23,3,0
12997334,1 BR apartment near Harvard,24584254,Ak,,Allston,42.36454,-71.11838,Entire home/apt,120,3,9,2017-01-08,0.23,1,0
13015767,"Queen and Twin Beds, Free Parking & WiFi",43544288,Susan,,West Roxbury,42.27246,-71.16863,Private room,62,1,71,2019-08-04,1.75,19,365
13024208,Sonder | The Continuum | Charming 1BR + Gym,12243051,Sonder,,Allston,42.36424,-71.13136,Entire home/apt,335,2,33,2019-07-03,0.83,240,59
13024385,Sonder | Boston Common | Simple 2BR + Laundry,12243051,Sonder,,Chinatown,42.35125,-71.06206,Entire home/apt,365,2,33,2019-08-21,0.83,240,136
13028899,"New King Bed, Free Parking&WiFi",43544288,Susan,,West Roxbury,42.27409,-71.16879,Private room,70,1,26,2019-08-27,0.67,19,365
13029806,"1 bedroom 1 bathroom in South End, Boston",71992437,Val,,South End,42.33709,-71.06873,Entire home/apt,210,3,30,2019-07-18,0.90,1,6
13031523,Comfortable furnished room w/Queen bed +amenities.,72014205,Patille,,Brighton,42.36113,-71.14011,Private room,67,1,5,2017-07-09,0.12,1,0
13032590,3 bedroom apartment next to T stop,21745230,Jurek,,Charlestown,42.38269,-71.0781,Entire home/apt,195,1,275,2019-09-12,6.97,10,257
13044229,"Andrew Sq, South Boston - Modern Condo",72163500,Chris,,South Boston,42.32964,-71.05511,Entire home/apt,150,2,20,2017-10-27,0.50,1,0
13046581,Beautiful Apartment-5 Beds-Parking-Super Clean!,19488432,Julian,,West Roxbury,42.2609,-71.15774,Entire home/apt,125,2,177,2019-08-23,4.91,1,63
13046976,Sunny renovated 1 bed in friendly East Boston,507084,Nicole,,East Boston,42.37913,-71.03983,Entire home/apt,140,2,37,2017-08-10,0.92,1,0
13054720,Historic Brownstone in South End/Northeastern,72272410,Jennifer,,Roxbury,42.33598,-71.08407,Entire home/apt,135,4,175,2018-12-01,4.36,1,0
13056821,1 BR Newly Renovated Charming Historic Brownstone.,72298155,Rebecca,,Roxbury,42.33029,-71.09382,Entire home/apt,148,1,241,2019-09-06,6.78,1,159
13062783,Boston bedroom near Fenway,44620221,Michael,,Mission Hill,42.33048,-71.10651,Private room,42,1,4,2016-09-01,0.10,1,0
13063952,3 min to T stop-Boston/Somervillle,21745230,Jurek,,Charlestown,42.3827,-71.07877,Private room,65,28,15,2019-05-09,0.38,10,163
